player_id,passes,carries,goal_threat,receptions,total_actions,team_passes,team_carries,team_goal_threat,team_receptions,team_total_actions,pass_tendency,carry_tendency,goal_threat_tendency,reception_tendency,pass_influence,carry_influence,goal_threat_influence,reception_influence,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15
7948,122609,92915,4513,7388,227425,1612792,1227996,58504,94457,2993749,0.5391183906782456,0.408552269979114,0.01984390458392877,0.032485434758711663,0.07602282253384193,0.07566392724406268,0.07714002461370163,0.07821548429444086,-234.02463,232.96819,237.57024,-232.03008,238.0502,-220.26582,213.7374,224.68652,-238.72289,-204.89203,-233.6236,-232.96268,-242.13681,-209.05034,-225.9559,-230.36563
19526,44021,34618,2150,2487,83276,954051,738525,41902,57953,1792431,0.528615687593064,0.4157020029780489,0.02581776262068303,0.029864546808204044,0.04614113920534647,0.04687451338817237,0.051310199990453914,0.04291408555208531,-187.02002,183.18732,190.52255,-182.69565,190.053,-173.51512,170.85829,177.5955,-189.05415,-162.17581,-186.79681,-185.56769,-193.03644,-166.66206,-179.4443,-183.82779
27085,42365,33133,1830,2810,80138,624221,492984,27750,40771,1185726,0.5286505777533754,0.4134492999575732,0.022835608575207767,0.03506451371384362,0.06786859141233634,0.06720907777940055,0.06594594594594595,0.06892153736724632,-155.76361,154.05296,158.60207,-152.33133,158.2036,-143.1863,143.58745,149.28712,-158.18365,-136.19106,-156.36456,-156.68063,-162.31046,-140.09747,-150.41309,-154.20508
27205,100179,72749,3770,5962,182660,1794673,1338357,66175,104282,3303487,0.5484451987298806,0.39827548450673383,0.02063943939559838,0.032639877367787146,0.05582019677122239,0.054356946614393616,0.05697015489233094,0.0571718992731248,-247.8635,246.41182,252.07845,-244.5682,251.80838,-231.00903,227.7964,238.23439,-253.06073,-217.84473,-247.54169,-248.65327,-257.68155,-222.11504,-240.00835,-244.88864
28980,104617,83371,4898,5733,198619,1297480,1030921,61457,71746,2461604,0.5267220155171459,0.4197533972077193,0.024660279228069824,0.028864308047064982,0.08063091531276012,0.08087040617079291,0.07969800022780155,0.07990689376411228,-155.26349,153.73216,158.0689,-153.22798,157.07764,-142.65355,141.31223,149.95216,-157.3903,-137.00714,-154.06331,-156.91156,-161.67436,-139.51465,-150.16626,-154.54631
30483,57840,43184,2596,3926,107546,1247751,933850,51388,79677,2312666,0.537816376248303,0.40153980622245367,0.0241385081732468,0.0365053093559965,0.046355402640430664,0.04624297264014563,0.05051763057523157,0.0492739435470713,-215.48099,211.23665,218.59091,-210.37595,218.9809,-200.93121,197.51814,204.32368,-218.37465,-187.12526,-214.84358,-213.92752,-221.209,-192.28802,-206.85786,-210.79315
36559,100356,79405,4526,5625,189912,1212773,960141,55296,67521,2295731,0.5284342221660558,0.41811470575845655,0.023832090652512742,0.029618981422974852,0.08274920368444878,0.08270139489929083,0.08185040509259259,0.08330741547074244,-209.66905,208.34517,212.7226,-206.85175,213.20955,-195.98843,192.48482,201.40407,-213.86555,-184.2281,-209.61423,-210.04858,-217.63068,-187.82637,-202.61986,-206.53181
38703,91957,69777,3685,5801,171220,1573707,1175803,62464,99482,2911456,0.5370692676089242,0.40752832613012496,0.021522018455787877,0.03388038780516295,0.05843336783785037,0.05934412482363117,0.058993980532786885,0.05831205645242355,-148.13937,145.54346,149.89642,-144.72617,150.1922,-138.30518,136.72476,140.40753,-150.78328,-129.38039,-147.80908,-147.48508,-152.58072,-132.37146,-142.23198,-144.76677
42335,61040,45673,2750,4099,113562,1238954,921393,47808,76694,2284849,0.5375037424490586,0.4021855902502598,0.024215846850178756,0.03609482045050281,0.04926736585861945,0.04956951051288647,0.057521753681392236,0.05344616267243852,-215.47299,212.83632,219.45747,-211.48895,218.9562,-198.53516,197.37254,206.43617,-218.59267,-188.24113,-214.92844,-216.60516,-224.15982,-193.3344,-208.14095,-212.86589
43196,152201,114329,5604,9150,281284,2021856,1523105,74880,121571,3741412,0.5410936988950669,0.40645397534164757,0.01992292487308201,0.032529400890203494,0.07527786350758907,0.07506311121032365,0.07483974358974359,0.07526466015743886,-158.37944,155.3383,161.29895,-155.78308,161.91995,-149.54564,143.0515,150.00955,-158.91814,-136.71556,-158.69771,-155.34973,-162.3382,-141.44391,-151.20566,-155.20035
44186,164022,122139,6093,9525,301779,1938639,1446657,72395,113873,3571564,0.5435169445190023,0.40472995138826756,0.020190271688884914,0.0315628324038452,0.08460677826041878,0.08442844433753129,0.08416327094412597,0.08364581595285976,-182.67604,183.51808,184.75412,-182.53284,185.56773,-172.25151,166.56708,176.58524,-186.9479,-161.85483,-181.76006,-183.2947,-190.09903,-164.13004,-176.42284,-181.26875
89658,61014,49408,2832,3437,116691,1032631,833363,47577,57636,1971207,0.5228680875131758,0.4234088318722095,0.024269223847597502,0.029453856767017166,0.05908596584840083,0.059287489365378594,0.05952456018664481,0.059632868346172534,-183.32674,181.90536,185.85022,-180.01254,186.38737,-170.13252,169.1825,176.16748,-187.09157,-160.99106,-183.52644,-184.50612,-190.51878,-164.75137,-177.33588,-180.56772
127615,59717,44772,2048,3876,110413,1343335,1025635,49991,78896,2497857,0.5408511678878393,0.4054957296695135,0.018548540479834803,0.03510456196281235,0.04445428727755921,0.04365295646111921,0.04096737412734292,0.04912796592983168,-158.41689,156.95653,161.57928,-156.22093,160.57977,-145.33018,144.49162,152.78047,-160.78857,-139.44493,-157.29962,-160.3681,-165.6883,-142.52759,-153.46419,-157.68027
333032,111325,88333,5208,6167,211033,1337257,1059256,62839,74888,2534240,0.5275241312970009,0.41857434619230166,0.024678604767974677,0.029222917742722704,0.08324876968301531,0.08339155029567923,0.08287846719394007,0.08234964213225082,-183.1565,183.09811,185.21037,-181.96254,186.09393,-172.20193,167.11436,176.79378,-186.82158,-161.97665,-182.66582,-183.43677,-190.15686,-164.39586,-176.48695,-181.23534
333595,189080,142194,6890,11237,349401,2083882,1566842,77700,123910,3852334,0.5411547190763621,0.40696506306507424,0.01971946273765673,0.03216075512090692,0.09073450416098416,0.0907519711623763,0.08867438867438868,0.09068678879832136,-90.33427,88.970024,90.97676,-89.90369,92.20951,-84.964134,82.5613,86.191154,-91.30159,-79.61526,-90.14418,-91.481514,-93.85484,-81.208084,-86.69519,-89.76588
333614,37710,30646,1731,1856,71943,832176,657388,39616,44215,1573395,0.5241649639297777,0.42597611998387613,0.02406071473249656,0.025798201353849574,0.045314933379477416,0.04661782691500301,0.04369446688206785,0.04197670473821102,-229.45067,226.21835,232.68011,-225.68152,233.29486,-215.09564,210.1672,218.50421,-233.05307,-200.21326,-228.64398,-228.70741,-236.76065,-204.89267,-220.91704,-225.02042
